activity type;name;reference product;database;code;location;unit;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
;market for resistor, metal film type, through-hole mounting;resistor, metal film type, through-hole mounting;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;621a694295a9725001f6d24fba6ab307;GLO;kilogram;2610;Manufacture of electronic components and boards;47120;Electrical resistors (except heating resistors);MachElecTrans;Metal/electronic equipments and parts
;market for ethylene glycol dimethyl ether;ethylene glycol dimethyl ether;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;cf0f60252ff224f502c4821637299d35;GLO;kilogram;2011;Manufacture of basic chemicals;34170;Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];Chemical;Chemical products
;market for peat moss;peat moss;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;7075675b46724f0d43360996e9a0a4c5;GLO;cubic meter;892;Extraction of peat;11050;Peat;OreMinFuel;Ores, minerals & fuels
;market for offshore platform, petroleum;offshore platform, petroleum;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;00e1aaacb366e2e2eb39233abbfee49e;GLO;unit;3011;Building of ships and floating structures;49320;Floating or submersible drilling or production platforms;MachElecTrans;Transport vehicles
;lime, from liquid packaging board production to generic market for soil pH raising agent;soil pH raising agent, as CaCO3;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;4960ca552280ca059e503232c210d4b6;GLO;kilogram;2012;Manufacture of fertilizers and nitrogen compounds;34659;Fertilizers n.e.c.;Chemical;Chemical products
;market for glass cullet, for Saint-Gobain ISOVER SA;glass cullet, for Saint-Gobain ISOVER SA;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;d068f6d89ddf052c7287c946b401da98;GLO;kilogram;3811;Collection of non-hazardous waste;37111;"Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass";GlasNonMetal;Glass and other non-metallic products
;market for catalytic converter, oxidation, 20 litre;catalytic converter, oxidation, 20 litre;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;04c1da5254add632de193128cd1e6dcf;GLO;unit;2930;Manufacture of parts and accessories for motor vehicles;46910;"Electrical ignition or starting equipment of a kind used for internal combustion engines; generators and cut-o[…]";MachElecTrans;Metal/electronic equipments and parts
;market for sand-lime brick;sand-lime brick;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;2706c72e9fd70ec905b3b3c565410e6e;GLO;kilogram;2395;Manufacture of articles of concrete, cement and plaster;37540;Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone;GlasNonMetal;Glass and other non-metallic products
;market for pyrochlore concentrate;pyrochlore concentrate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ed0e31e286da2179a138ffe2d6ba7eab;GLO;kilogram;729;Mining of other non-ferrous metal ores;14290;Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates);OreMinFuel;Ores, minerals & fuels
;market for pig iron;pig iron;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;74594268cfb241c58ea7bb837e9b7a2f;World;kilogram;2410;Manufacture of basic iron and steel;41111;Pig iron and spiegeleisen in pigs, blocks or other primary forms;MetalAlloy;Basic metals & alloys, their semi-finished products
;market for basic oxygen furnace secondary metallurgy slag;basic oxygen furnace secondary metallurgy slag;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;690af84e7b2959f1b1a44619e607a2f7;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39310;Slag, dross, scalings and other waste from the manufacture of iron or steel;AgriForeAnim;Agricultural and forestry products
;market for integrated circuit, logic type;integrated circuit, logic type;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;9ab4e4fc0af0e3fa68272bf9d5e2bf37;GLO;kilogram;2610;Manufacture of electronic components and boards;47160;Electronic integrated circuits;MachElecTrans;Metal/electronic equipments and parts
;market for used air distribution terminal panel steel, 120 m3/h;used air distribution terminal panel steel, 120 m3/h;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;a38aa55202da4cdb450aa13c8697001d;RoW;unit;3830;Materials recovery;39310;Slag, dross, scalings and other waste from the manufacture of iron or steel;AgriForeAnim;Agricultural and forestry products
;market for trimethylamine;trimethylamine;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;36e9a5f8e6f110b1f50a2427e0c3373c;RoW;kilogram;2011;Manufacture of basic chemicals;34150;"Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]";Chemical;Chemical products
;market for three and five layered board;three and five layered board;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;a9b8787ddd5404b6abd259278c6d0c0d;RoW;cubic meter;1621;Manufacture of veneer sheets and wood-based panels;31411;Plywood consisting solely of sheets, of coniferous wood;ProcBio;Wood, straw & cork
;market for sawnwood, lath, softwood, dried (u=10%), planed;sawnwood, lath, softwood, dried (u=10%), planed;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;6a09a87469f06737c13cd4551632a14e;RoW;cubic meter;1610;Sawmilling and planing of wood;31101;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood;ProcBio;Wood, straw & cork
;market for peanut seed, for sowing;peanut seed, for sowing;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;235ef9807324fb517926e7081a1ff720;GLO;kilogram;164;Seed processing for propagation;86112;Seed processing services;;
;market for chickpea;chickpea;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;8d51cd9b4fcdd6da75aa3cdb199e2f31;GLO;kilogram;111;Growing of cereals (except rice), leguminous crops and oil seeds;1703;Chick peas, dry;OreMinFuel;Ores, minerals & fuels
;market for paclobutrazol;paclobutrazol;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;5994c6fa51edf6fb6bb405614dee10fa;GLO;kilogram;2011;Manufacture of basic chemicals;3466;Insecticides, fungicides, herbicides and disinfectants;Chemical;Chemical products
;market for maleic unsaturated polyester resin;maleic unsaturated polyester resin;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;253c2a33c1fc5a2548ed3a1e32aa9a8c;GLO;kilogram;2013;Manufacture of plastics and synthetic rubber in primary forms;34740;"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl es[…]";PlastRub;Plastics & rubber products
;market for used intermodal shipping container, 40-foot;used intermodal shipping container, 40-foot;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;97f8429f8b8aaf867e44fa4acf9ff776;GLO;unit;3830;Materials recovery;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
;market for dust collector, electrostatic precipitator, for industrial use;dust collector, electrostatic precipitator, for industrial use;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;2287c8c121103584f07c0c3199220d51;GLO;unit;2819;Manufacture of other general-purpose machinery;4393;General-purpose machinery n.e.c.;MachElecTrans;Metal/electronic equipments and parts
;market for acrylic dispersion, with water, in 58% solution;acrylic dispersion, with water, in 58% solution state;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;8d312624d4928b40d0613fd662b39004;RoW;kilogram;2022;Manufacture of paints, varnishes and similar coatings, printing ink and mas;35110;Paints and varnishes and related products;Chemical;Chemical products
;market for sewage sludge, 75% water, WWT, WW from LCD backlight production;sewage sludge, 75% water, WWT, WW from LCD backlight production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;a6f9922546821db48d9a8753b219386e;GLO;kilogram;3821;Treatment and disposal of non-hazardous waste;39920;Sewage sludge;AgriForeAnim;Agricultural and forestry products
;market for cottonseed;cottonseed;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c1165e9f75e6558fb56158799839882a;RoW;kilogram;163;Post-harvest crop activities;143;Cottonseed;OreMinFuel;Ores, minerals & fuels
;market for process-specific burdens, slag landfill;process-specific burdens, slag landfill;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c4c81dd3eac790e0f467285a98ca82d4;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
;market for polyacrylamide;polyacrylamide;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;3de927f96c53ca0ac446a2af1c0f5ef6;GLO;kilogram;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
;market for 4-tert-butyltoluene;4-tert-butyltoluene;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;809850cb8729ba9ed956f6e7b6c49780;RoW;kilogram;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
;market for impact extrusion of steel, cold, 3 strokes;impact extrusion of steel, cold, 3 strokes;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;5ce36df412c374810b956ad311a14261;GLO;kilogram;2591;"Forging, pressing, stamping and roll-forming of metal; powder metallurgy";89330;Metal forging, pressing, stamping, roll forming and powder metallurgy services;;
;market for soybean seed, for sowing;soybean seed, for sowing;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;4bb93ae2739a569b08365ff28bfce4bf;GLO;kilogram;164;Seed processing for propagation;1411;Soya beans, seed for planting;OreMinFuel;Ores, minerals & fuels
;market for lettuce;lettuce;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;7aa2ccd470a6247189e567b66b199d6c;GLO;kilogram;113;Growing of vegetables and melons, roots and tubers;1214;Lettuce and chicory;OreMinFuel;Ores, minerals & fuels
;market for lentil;lentil;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;473f34ef4701ff772d1433665472a930;GLO;kilogram;111;Growing of cereals (except rice), leguminous crops and oil seeds;1709;Pulses, n.e.c.;OreMinFuel;Ores, minerals & fuels
;market for medium density fibreboard;medium density fibreboard;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;26a3382ee1fd43f4fe653e727b541f82;RoW;cubic meter;1621;Manufacture of veneer sheets and wood-based panels;31441;Medium density fibreboard (MDF);ProcBio;Wood, straw & cork
;market for wood preservation, dipping/immersion method, water-based, indoor use, occasionally wet;wood preservation, dipping/immersion method, water-based, indoor use, occasionally wet;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;976a61b755e83c92847158feffad7777;GLO;kilogram;1610;Sawmilling and planing of wood;54730;Painting services;;
;market for polyvinylfluoride, dispersion;polyvinylfluoride, dispersion;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;2c4cb0dd151eb24f9cdbf4d04cc32939;GLO;kilogram;2013;Manufacture of plastics and synthetic rubber in primary forms;34730;Polymers of vinyl chloride or other halogenated olefins, in primary forms;PlastRub;Plastics & rubber products
;market for marine engine;marine engine;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;fbe6052b8ad01988e9536502ad6f3da8;GLO;unit;2811;Manufacture of engines and turbines, except aircraft, vehicle and cycle eng;4312;Internal combustion engines of a kind used for motor vehicles;MachElecTrans;Metal/electronic equipments and parts
;market for potassium nitrate, agricultural grade;potassium nitrate, agricultural grade;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;5d05a333844f7667c0264d0b2b641f0a;GLO;kilogram;2012;Manufacture of fertilizers and nitrogen compounds;34646;Potassium nitrate;Chemical;Chemical products
;market for chilli;chilli;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;9e58f08a87d077f57e39b0371fbd4675;GLO;kilogram;128;Growing of spices, aromatic, drug and pharmaceutical crops;1231;Chillies and peppers, green (Capsicum spp. and Pimenta spp.);OreMinFuel;Ores, minerals & fuels
;market for triclopyr;triclopyr;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ff43875a46f7adedf9cc98fbdd3921b9;GLO;kilogram;2011;Manufacture of basic chemicals;34663;Herbicides, anti-sprouting products and plant-growth regulators;Chemical;Chemical products
;market for tantalum concentrate, 30% Ta2O5;tantalum concentrate, 30% Ta2O5;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0c68daf6455c3e7750a7d48e87f17f7a;GLO;kilogram;729;Mining of other non-ferrous metal ores;41601;Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];MetalAlloy;Basic metals & alloys, their semi-finished products
;market for carton board box production, with offset printing;carton board box production, with offset printing;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;abaa20243b8346aa03a36cc182ffcf93;GLO;kilogram;1702;Manufacture of corrugated paper and paperboard and of containers of paper a;32153;Cartons, boxes, cases, record sleeves and other packing containers (except bags) of paper, paperboard, cellulo[…];ProcBio;Pulp & paper
;market for hydrogen, gaseous;hydrogen, gaseous;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;7607ca8aa48f492ca4c939d82a157f23;World;kilogram;1920;Manufacture of refined petroleum products;34210;"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";Chemical;Chemical products
;market for phosphane;phosphane;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;7673e1bbb7cce0eb0e93f01cc5621d3a;GLO;kilogram;2021;Manufacture of pesticides and other agrochemical products;3466;Insecticides, fungicides, herbicides and disinfectants;Chemical;Chemical products
;market for bottom ash, MSWI-WWT, WW from LCD backlight production;bottom ash, MSWI-WWT, WW from LCD backlight production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;07c1099239bb114d26127bced01af374;GLO;kilogram;3821;Treatment and disposal of non-hazardous waste;3932;Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…];AgriForeAnim;Agricultural and forestry products
;market for maintenance, intermodal shipping container, 20-foot;maintenance, intermodal shipping container, 20-foot;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;896df2c721d9f623d457fd172ec1db3e;GLO;unit;3315;Repair of transport equipment, except motor vehicles;87149;Maintenance and repair services of other transport equipment;;
;market for frozen fish sticks, hake;frozen fish sticks, hake;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;17ce6f33882f71849efa24d4fa8b9bce;GLO;kilogram;1075;Manufacture of prepared meals and dishes;21223;Fish meat, whether or not minced, frozen;ProcBio;Food & beverages, animal feed
;market for ammonium thiocyanate;ammonium thiocyanate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;19491c1e22a309caedebc2cf3bd5f053;GLO;kilogram;2011;Manufacture of basic chemicals;34270;"Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perb[…]";Chemical;Chemical products
;market for fuel cell, polymer electrolyte membrane, 2kW electrical, future;fuel cell, polymer electrolyte membrane, 2kW electrical, future;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;501372eaeaf04ca581f92b441d15275a;GLO;unit;2790;Manufacture of other electrical equipment;46410;Primary cells and primary batteries;MachElecTrans;Metal/electronic equipments and parts
;market for heavy water;heavy water;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;14fdba12e9bad5e0f0ca4ff8be3645da;GLO;kilogram;2029;Manufacture of other chemical products n.e.c.;34260;Isotopes n.e.c. and compounds thereof (including heavy water);Chemical;Chemical products
;market for bottom ash, MSWI-WWT, WW from grass refinery;bottom ash, MSWI-WWT, WW from grass refinery;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;1dae7429edac656b453dd2075f260387;GLO;kilogram;3821;Treatment and disposal of non-hazardous waste;3932;Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…];AgriForeAnim;Agricultural and forestry products
;market for process-specific burdens, sanitary landfill;process-specific burdens, sanitary landfill;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;27f8bb919f1f9f621d2e528d001fbced;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
;market for expansion vessel, 80l;expansion vessel, 80l;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;2c5e8f2cf2434c4aafdeddda4782d998;GLO;unit;2512;Manufacture of tanks, reservoirs and containers of metal;39370;Vessels and other floating structures for breaking up;AgriForeAnim;Agricultural and forestry products
;market for storage, 10'000 l;storage, 10'000 l;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;fdc046cf75593ebe477e2d07e8285cb9;GLO;unit;2512;Manufacture of tanks, reservoirs and containers of metal;42210;Reservoirs, tanks, vats and similar containers (other than for compressed or liquefied gas), of iron, steel or[…];ProcBio;Food & beverages, animal feed
;market for pyrite ash;pyrite ash;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;5f17a4bf434df7d4cb064d628604ad20;GLO;kilogram;2394;Manufacture of cement, lime and plaster;374;Plaster, lime and cement;GlasNonMetal;Glass and other non-metallic products
;market for ammonium nitrite;ammonium nitrite;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c6bc2cad7bfd532691d83b1ddf4649c5;GLO;kilogram;2011;Manufacture of basic chemicals;34653;"Ammonium chloride; nitrites";Chemical;Chemical products
;market for wood preservation, dipping/immersion method, organic solvent-based, indoor use, dry;wood preservation, dipping/immersion method, organic solvent-based, indoor use, dry;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;7ff21ce33200bd4b0c449bff5d436e23;GLO;kilogram;1610;Sawmilling and planing of wood;54730;Painting services;;
;market for activated carbon, granular;activated carbon, granular;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;4e7eec9ccd3bdd8e89cadfb415d3379c;GLO;kilogram;2029;Manufacture of other chemical products n.e.c.;35499;Other chemical products n.e.c.;Chemical;Chemical products
;market for sanitary ceramics;sanitary ceramics;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;5de4e6040341b76a45c93c671126ae7f;GLO;kilogram;2392;Manufacture of clay building materials;373;Refractory products and structural non-refractory clay products;GlasNonMetal;Glass and other non-metallic products
;market for maintenance, intermodal shipping container, 40-foot;maintenance, intermodal shipping container, 40-foot;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;038ab94a4355e48abaa9cbf85eda47f7;GLO;unit;3315;Repair of transport equipment, except motor vehicles;87149;Maintenance and repair services of other transport equipment;;
;market for rape meal;rape meal;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;7fd695d68b59a13513e5901c32473db1;GLO;kilogram;1040;Manufacture of vegetable and animal oils and fats;23319;Preparations used in animal feeding n.e.c.;ProcBio;Food & beverages, animal feed
;market for aluminium fluoride;aluminium fluoride;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;680c75ffbba966f1344cc492eb3bd8ca;GLO;kilogram;2011;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
;market for aluminium removed by drilling, conventional;aluminium removed by drilling, conventional;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;f6a649b400b6c49bdf9e465997262e4e;GLO;kilogram;2592;"Treatment and coating of metals; machining";39363;Waste and scrap of aluminium;AgriForeAnim;Agricultural and forestry products
;market for metallization paste, back side, aluminium;metallization paste, back side, aluminium;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;96782bcc5da89a1352eedf220a38708d;RoW;kilogram;2029;Manufacture of other chemical products n.e.c.;35499;Other chemical products n.e.c.;Chemical;Chemical products
;market for apple;apple;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0a53194111cb9168310016ac76b6590f;GLO;kilogram;124;Growing of pome fruits and stone fruits;1341;Apples;OreMinFuel;Ores, minerals & fuels
;market for buttermilk, from cow milk;buttermilk, from cow milk;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e6c5b0ef5e726f9d2686a79fd25128e7;GLO;kilogram;1050;Manufacture of dairy products;22241;Butter and other fats and oils derived from milk of cattle;ProcBio;Food & beverages, animal feed
;market for furnace, wood chips, with silo, 300kW;furnace, wood chips, with silo, 300kW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;a6fcb3a42fb979df053faa92714bcc93;GLO;unit;2815;Manufacture of ovens, furnaces and furnace burners;43420;"Industrial or laboratory furnaces and ovens, except non-electric bakery ovens; other industrial or laboratory […]";MachElecTrans;Metal/electronic equipments and parts
;market for low level radioactive waste for final repository;low level radioactive waste for final repository;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;1f14484ce0ed9e03ca8adca81b3cda5c;GLO;cubic meter;3822;Treatment and disposal of hazardous waste;33690;"Other radioactive elements and isotopes and compounds; alloys, dispersions, ceramic products and mixtures cont[…]";OreMinFuel;Ores, minerals & fuels
;market for deinking emulsion, in paper production;deinking emulsion, in paper production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;f4df67e293d5b11892de52d8488aa409;RoW;kilogram;2011;Manufacture of basic chemicals;34;Basic chemicals;Chemical;Chemical products
;market for wood preservative, organic, indoor use, dry;wood preservative, organic, indoor use, dry;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;14ff2382cafb9e0c715a810d9577df77;GLO;kilogram;2021;Manufacture of pesticides and other agrochemical products;345;Miscellaneous basic chemical products;Chemical;Chemical products
;market for adiponitrile;adiponitrile;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;430946426bae97a879911b51001ce6e3;RoW;kilogram;2011;Manufacture of basic chemicals;34150;"Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]";Chemical;Chemical products
;market for methyl-3-methoxypropionate;methyl-3-methoxypropionate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;1ca949cdaeebe4c0ee81bae977ec2ed4;GLO;kilogram;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
;market for activated silica;activated silica;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e6946648d1c3b9bf3394722e7687b19d;GLO;kilogram;2011;Manufacture of basic chemicals;34400;"Activated natural mineral products; animal black; tall oil; terpenic oils produced by the treatment of conifer[…]";Chemical;Chemical products
;market for generator, 200kW electrical;generator, 200kW electrical;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b347692f644518e97f7e43cb2d71b255;GLO;unit;2710;Manufacture of electric motors, generators, transformers and electricity di;461;Electric motors, generators and transformers, and parts thereof;MachElecTrans;Metal/electronic equipments and parts
;market for quicklime, in pieces, loose;quicklime, in pieces, loose;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;6ee892b821472122968b70a2070a22fc;RoW;kilogram;2394;Manufacture of cement, lime and plaster;37420;Quicklime, slaked lime and hydraulic lime;GlasNonMetal;Glass and other non-metallic products
;market for dimethyl ether;dimethyl ether;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;28e8902c28c9c699e5c871a3f829e68e;RoW;kilogram;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
;market for copper collector foil, for Li-ion battery;copper collector foil, for Li-ion battery;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c5059c3786878afc19540e313b8a69dc;GLO;kilogram;2790;Manufacture of other electrical equipment;46430;Parts of primary cells, primary batteries and electric accumulators (including separators);MachElecTrans;Metal/electronic equipments and parts
;market for coconut, dehusked;coconut, dehusked;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e41066820ea7f396130d0a4f061352eb;GLO;kilogram;126;Growing of oleaginous fruits;21429;Other shelled nuts;ProcBio;Food & beverages, animal feed
;chlorine, for reuse in titanium tetrachloride production, to generic market for chlorine;chlorine, liquid;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0726e400e38621839cb04d48906ef100;RoW;kilogram;2011;Manufacture of basic chemicals;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
;market for steel removed by drilling, conventional;steel removed by drilling, conventional;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;893de51d519e2e1553fb4c5f2a56a411;GLO;kilogram;2592;"Treatment and coating of metals; machining";39310;Slag, dross, scalings and other waste from the manufacture of iron or steel;AgriForeAnim;Agricultural and forestry products
;market for sodium dichromate;sodium dichromate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ae99303d22e45cb01f75b74d40883bd1;GLO;kilogram;2011;Manufacture of basic chemicals;34250;"Salts of oxometallic or peroxometallic acids; colloidal precious metals and compounds thereof; inorganic and o[…]";Chemical;Chemical products
;market for transformer, low voltage use;transformer, low voltage use;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;50f85c1ecc6d9c078cd9fbc1424333c2;GLO;kilogram;2710;Manufacture of electric motors, generators, transformers and electricity di;46121;Electrical transformers;MachElecTrans;Metal/electronic equipments and parts
;market for sodium nitrate, unrefined;sodium nitrate, unrefined;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;1a9da562ab955a6e84c8b72cd1e93fb3;GLO;kilogram;2012;Manufacture of fertilizers and nitrogen compounds;16390;Other minerals n.e.c.;OreMinFuel;Ores, minerals & fuels
;market for used powertrain, electric scooter;used powertrain, electric scooter;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;5a3609c8028ec77268760d5850e3a394;GLO;kilogram;3830;Materials recovery;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
;market for captan;captan;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c636e69892aa89e8764b77160f8b45be;GLO;kilogram;2021;Manufacture of pesticides and other agrochemical products;34662;Fungicides;Chemical;Chemical products
;market for sulfite;sulfite;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;25c21d42dc79e01245adfaa93c14c53e;RoW;kilogram;2011;Manufacture of basic chemicals;34;Basic chemicals;Chemical;Chemical products
;market for sawnwood, beam, hardwood, dried (u=10%), planed;sawnwood, beam, hardwood, dried (u=10%), planed;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;d2f0454b1e89ac8ed829e6d8df9679c3;RoW;cubic meter;1610;Sawmilling and planing of wood;31102;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of non-coniferous wood;ProcBio;Wood, straw & cork
;market for polarizer, liquid crystals and colour filters, for liquid crystal display;polarizer, liquid crystals and colour filters, for liquid crystal display;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;202f002a2dd82cdd3a95fec5485909c7;GLO;kilogram;2610;Manufacture of electronic components and boards;471;"Electronic valves and tubes; electronic components; parts thereof";MachElecTrans;Metal/electronic equipments and parts
;market for petrol, low-sulfur;petrol, low-sulfur;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;83688436c0c23932481625cbfd01aba0;RoW;kilogram;1920;Manufacture of refined petroleum products;333;"Petroleum oils and oils obtained from bituminous materials, other than crude; preparations n.e.c. containing by […]";OreMinFuel;Ores, minerals & fuels
;terbium oxide to generic market for mischmetal;mischmetal;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;621b22f685c334f7b76ae1e822eefd09;GLO;kilogram;729;Mining of other non-ferrous metal ores;34290;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
;market for waste frit from cathode ray tube production;waste frit from cathode ray tube production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;22c508877da8e2a5e00be1a78c64b28b;GLO;kilogram;3822;Treatment and disposal of hazardous waste;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
;market for electric kettle;electric kettle;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;98646c1a7532c0064eade965f9c00f56;GLO;unit;2750;Manufacture of domestic appliances;88744;Consumer electronics manufacturing services;;
;market for inverter, 2.5kW;inverter, 2.5kW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;598e39ea25e27da17a40d5574eb156b2;GLO;unit;2790;Manufacture of other electrical equipment;4717;Parts for the goods of classes 4711, 4712 and 4714 to 4716;MachElecTrans;Metal/electronic equipments and parts
